Node_ID,Node_Name,Degree,Community,Betweenness_Centrality
48957,Gothika,128,22,10899522.816505387
53581,Hot Pursuit,128,21,10401275.029721368
36228,Hellboy,128,18,10444235.67543373
41397,Ted,128,11,8511530.409282094
27329,Timeline,128,22,10339511.547282899
16859,San Andreas,127,24,11843634.589404942
62957,The Shawshank Redemption,127,9,12149908.403025776
36638,London Has Fallen,127,21,10126707.839804985
26264,The Book of Eli,127,21,9908392.773733094
42893,Bridget Jones: The Edge of Reason,127,2,8151593.284835617
34622,Jurassic Park,127,20,11219454.521913549
23262,The Interpreter,127,15,13951161.953976924
26345,The Haunting,126,9,10976216.320436468
32130,The Sum of All Fears,126,22,11000967.53148018
37432,xXx: State of the Union,126,18,9686588.7009895
49675,Torque,125,1,9316372.973890767
31095,The Abyss,125,9,9552510.3303935
78012,Black Swan,125,15,8771742.63192869
56065,DodgeBall: A True Underdog Story,125,1,9338055.921776805
82162,The Purge: Election Year,125,11,8446977.020065311
70951,Fear and Loathing in Las Vegas,125,34,9364338.513475543
65171,The Water Diviner,125,24,8838384.87539968
25398,Bruce Almighty,125,1,10913775.266892847
63340,The Girl Next Door,125,1,8815600.05594608
26765,The Manchurian Candidate,125,15,12205875.894234512
4169,Transformers: Age of Extinction,124,8,12934836.448502311
25084,Scooby-Doo,124,24,12809075.044331372
65528,Underworld,124,25,9606897.57694552
48198,"I Love You, Man",124,5,7725421.804409921
57885,Assault on Precinct 13,124,3,11289917.845748553
87636,Darkness Falls,124,24,8452244.55882127
29049,The Man from U.N.C.L.E.,124,2,7684092.925055871
16076,Knight and Day,124,13,9791737.428026872
75217,The Theory of Everything,123,2,9303049.393971862
79345,American Pie,123,6,7909120.46853671
69214,Inherent Vice,123,12,10342923.218362771
56333,Million Dollar Baby,123,16,9073958.278868364
42253,Don't Say a Word,122,3,9938478.275733087
41824,The Ring Two,122,1,8213826.849367814
32381,Agora,122,29,10505095.948707238
16677,Dante's Peak,122,9,8405742.019742835
81146,The Fighter,122,11,9130088.512780614
57399,The Cabin in the Woods,122,17,7366511.488331703
71341,Birdman,122,15,11231218.403456163
80947,Star Wars,122,20,10664396.139103986
38940,American Wedding,122,6,7595997.310362445
105670,Intolerance,122,28,15104133.346159294
22168,What Lies Beneath,121,1,8068935.93918389
75128,Not Another Teen Movie,121,6,8586645.60383863
21869,The Incredibles,121,14,9387222.18874936
77136,Born on the Fourth of July,121,9,10879166.53025132
36952,Gangster Squad,121,1,10303360.041832643
32659,Entrapment,121,2,9918862.35749845
21362,Finding Nemo,121,14,7766634.55532599
26698,Lost in Space,121,2,10964044.053637238
19364,The Expendables 2,121,21,9369845.277726825
65357,Gandhi,121,20,11274474.716975728
43760,Gamer,120,25,9402905.570278175
59167,Die Hard,120,9,8409522.492828343
14558,The Da Vinci Code,120,2,10642358.686092043
61397,Gran Torino,120,16,8637493.57690181
12526,Sahara,120,2,10831677.491587777
75398,Wild,120,37,10016370.61899655
